trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
354,False,"{'a': 0.0099, 'e': 0.030058794457573194}",25,19,-33.340119521175396,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
355,False,"{'a': 0.0099, 'e': 0.029762680574669777}",20,1,29.72778342528107,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.0099, 'e': 0.029469483755914492}",20,10,20.623714448581964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.0099, 'e': 0.029179175264852423}",35,19,29.90947140451915,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.0099, 'e': 0.02889172664811597}",20,7,25.306651453720455,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.0099, 'e': 0.028607109732636107}",30,7,35.23944617569566,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.0099, 'e': 0.02832529662288111}",25,0,30.84294891604119,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
361,False,"{'a': 0.0099, 'e': 0.028046259698122515}",20,12,14.36750594111481,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.0099, 'e': 0.02776997160972793}",20,14,10.644168596667337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.0099, 'e': 0.027496405278480657}",30,0,44.3550041801205,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.0099, 'e': 0.02722553389192558}",20,2,28.328212826681114,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.0099, 'e': 0.026957330901741273}",20,3,28.28943427470223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.0099, 'e': 0.02669177002113797}",20,14,8.411515876144179,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.0099, 'e': 0.026428825222281183}",20,16,6.761979021498334,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.0099, 'e': 0.026168470733740685}",25,10,22.024022895857712,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.0099, 'e': 0.025910681037964643}",20,9,18.042692810453993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.0099, 'e': 0.025655430868778615}",25,0,36.842557258499475,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
371,False,"{'a': 0.0099, 'e': 0.02540269520890919}",20,13,12.262047515464808,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.0099, 'e': 0.02515244928753203}",20,0,18.020762185264086,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
373,False,"{'a': 0.0099, 'e': 0.02490466857784406}",25,11,14.233939680804019,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.0099, 'e': 0.024659328794659572}",25,14,19.003055519023288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.0099, 'e': 0.02441640589203002}",30,20,15.16804767940131,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.0099, 'e': 0.02417587606088727}",20,11,11.848268445087076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.0099, 'e': 0.023937715726710013}",20,9,17.12640132008458,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.0099, 'e': 0.023701901547213258}",30,17,15.254799793573053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.0099, 'e': 0.0234684104100605}",25,3,-48.35175712990053,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
380,False,"{'a': 0.0099, 'e': 0.023237219430598477}",20,4,21.405291237033552,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.0099, 'e': 0.023008305949614227}",20,0,14.434467305098984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
382,False,"{'a': 0.0099, 'e': 0.022781647531114228}",25,2,-11.866803278900095,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
383,False,"{'a': 0.0099, 'e': 0.02255722196012545}",20,12,9.667790731225036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.0099, 'e': 0.022335007240518023}",25,9,31.06861517633375,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.0099, 'e': 0.022114981592849404}",30,16,27.13189922540109,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.0099, 'e': 0.02189712345222972}",20,12,14.054284938585807,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
